ticker,median_bars_per_day,trading_days,total_returns,liquidity_class
DVN,389.0,139,53627,eval_eligible
DXC,389.0,139,53481,eval_eligible
EAF,363.0,139,49837,eval_eligible
EBS,194.0,139,27634,excluded
EDIT,305.0,139,41851,train_only
EEFT,219.0,139,32153,excluded
EGHT,358.0,139,48819,eval_eligible
EGOV,177.0,139,25230,excluded
EGP,120.0,139,18311,excluded
EHC,279.0,139,38882,excluded
EHTH,305.0,139,41273,train_only
ELAN,385.0,139,52425,eval_eligible
ELS,303.0,139,40306,train_only
EME,161.0,139,24569,excluded
EMN,359.0,139,48402,eval_eligible
ENR,315.0,139,43420,train_only
ENS,159.0,139,23016,excluded
ENSG,157.0,139,23454,excluded
ENTG,330.0,139,44265,train_only
ENV,205.0,139,29121,excluded
EPAC,215.0,139,30352,excluded
EPAM,161.0,139,23822,excluded
EPAY,165.0,139,24147,excluded
EPC,273.0,139,37720,excluded
EPZM,301.0,139,40120,train_only
EQC,236.0,139,34310,excluded
EQH,383.0,139,52212,eval_eligible
EQM,311.0,139,41960,train_only
EQT,389.0,139,53434,eval_eligible
ESI,356.0,139,48418,eval_eligible
ESNT,261.0,139,37489,excluded
ESRT,294.0,139,41167,train_only
ESTC,353.0,139,47013,eval_eligible
ETFC,387.0,139,53034,eval_eligible
ETRN,387.0,139,53302,eval_eligible
ETSY,387.0,139,53236,eval_eligible
EV,276.0,139,38577,excluded
EVR,257.0,139,35376,excluded
EVTC,176.0,139,26397,excluded
EWBC,348.0,139,47110,train_only
EXEL,387.0,139,53361,eval_eligible
EXP,209.0,139,29672,excluded
EXPE,385.0,139,52723,eval_eligible
EXPO,136.0,139,19454,excluded
EYE,305.0,139,41302,train_only
FAF,298.0,139,40674,train_only
FANG,385.0,139,52873,eval_eligible
FBC,180.0,139,25230,excluded
FBHS,361.0,139,49066,eval_eligible
FCFS,162.0,139,24027,excluded
FCN,131.0,139,20918,excluded
FCPT,186.0,139,27368,excluded
FCX,389.0,139,53648,eval_eligible
FEYE,381.0,139,52078,eval_eligible
FFBC,187.0,139,26969,excluded
FFIN,200.0,139,29032,excluded
FFIV,293.0,139,40375,train_only
FG,295.0,139,40141,train_only
FGEN,281.0,139,38857,train_only
FHB,260.0,139,36942,excluded
FHI,243.0,139,35083,excluded
FHN,385.0,139,52668,eval_eligible
FIBK,122.0,139,19038,excluded
FICO,141.0,139,21707,excluded
FIT,387.0,139,53030,eval_eligible
FIVE,350.0,139,46728,eval_eligible
FIX,154.0,139,23426,excluded
FIZZ,226.0,139,31750,excluded
FL,387.0,139,52899,eval_eligible
FLEX,379.0,139,51861,eval_eligible
FLIR,264.0,139,38177,excluded
FLO,327.0,139,45337,train_only
FLS,310.0,139,42377,train_only
FMBI,240.0,139,34231,excluded
FMC,342.0,139,45703,train_only
FN,157.0,139,23077,excluded
FNB,369.0,139,50359,eval_eligible
FND,338.0,139,46228,train_only
FNF,361.0,139,49557,eval_eligible
FORM,250.0,139,34879,excluded
FOXF,119.0,139,18207,excluded
FR,305.0,139,41491,train_only
FRT,228.0,139,32469,excluded
FSLR,366.0,139,49177,eval_eligible
FSLY,344.0,139,45674,train_only
FSS,210.0,139,29170,excluded
FTCH,381.0,139,52070,eval_eligible
FTDR,225.0,139,31363,excluded
FTI,389.0,139,53393,eval_eligible
FTSV,189.0,139,26166,excluded
FUL,198.0,139,28851,excluded
FULT,316.0,139,43341,train_only
FWRD,78.0,139,12399,excluded
G,334.0,139,45463,train_only
GATX,144.0,139,21908,excluded
GBCI,175.0,139,24917,excluded
GBT,328.0,139,44633,train_only
GCP,164.0,139,25101,excluded
GDDY,362.0,139,49290,eval_eligible
GEO,331.0,139,45034,train_only
GGG,285.0,139,39891,train_only
GH,328.0,139,45031,train_only
GKOS,230.0,139,32805,excluded
GL,238.0,139,33912,excluded
GLPI,317.0,139,43449,train_only
GMED,252.0,139,35579,excluded
GNRC,302.0,139,41358,train_only
GNTX,369.0,139,50433,eval_eligible
GO,260.0,139,36647,excluded
GPC,314.0,139,43380,train_only
GPK,387.0,139,53056,eval_eligible
GPS,389.0,139,53533,eval_eligible
GRA,248.0,139,34966,excluded
GSX,329.0,139,44323,train_only
GT,385.0,139,52827,eval_eligible
GTN,276.0,139,38739,excluded
GWB,166.0,139,24979,excluded
GWRE,310.0,139,42060,train_only
H,269.0,139,38143,excluded
HAE,201.0,139,28868,excluded
HAIN,291.0,139,39510,train_only
HAL,389.0,139,53614,eval_eligible
HALO,347.0,139,46004,train_only
HAS,361.0,139,47919,eval_eligible
HASI,198.0,139,29425,excluded
HBI,389.0,139,53432,eval_eligible
HCSG,273.0,139,38508,excluded
HDS,351.0,139,47156,eval_eligible
HE,221.0,139,31673,excluded
HEI,266.0,139,37945,excluded
HELE,95.0,139,15194,excluded
HES,387.0,139,53093,eval_eligible
HFC,381.0,139,52060,eval_eligible
HHC,111.0,139,17988,excluded
HI,267.0,139,37080,excluded
HIG,383.0,139,52514,eval_eligible
HII,156.0,139,24439,excluded
HIW,300.0,139,40710,train_only
HLF,318.0,139,43582,train_only
HLI,173.0,139,25485,excluded
HMSY,248.0,139,35317,excluded
HOG,377.0,139,51631,eval_eligible
HOLX,379.0,139,51658,eval_eligible
HOMB,261.0,139,37684,excluded
HOPE,267.0,139,37582,excluded
HP,383.0,139,52549,eval_eligible
HPP,303.0,139,41281,train_only
HQY,322.0,139,44372,train_only
HR,366.0,139,49853,eval_eligible
HRB,385.0,139,52821,eval_eligible
HRC,213.0,139,31538,excluded
HSIC,343.0,139,47466,train_only
HST,389.0,139,53495,eval_eligible
HTA,366.0,139,49853,eval_eligible
HTH,206.0,139,30880,excluded
HTHT,348.0,139,47135,train_only
HTLD,163.0,139,24033,excluded
HUBB,161.0,139,24143,excluded
HUBG,143.0,139,20351,excluded
HUBS,300.0,139,40480,train_only
HUN,377.0,139,51359,eval_eligible
HWC,250.0,139,35587,excluded
HXL,286.0,139,38844,train_only
HZNP,365.5,138,49277,eval_eligible
IAA,304.0,139,41326,train_only
IART,223.0,139,32500,excluded
IBKC,208.0,139,28521,excluded
IBOC,103.0,139,16180,excluded
IBTX,185.0,139,26512,excluded
ICLR,167.0,139,23799,excluded
ICPT,272.0,139,37533,excluded
ICUI,104.0,139,15686,excluded
IDA,165.0,139,24005,excluded
IDCC,169.0,139,24257,excluded
IEX,228.0,139,31671,excluded
IIVI,375.0,139,50264,eval_eligible
INDB,72.0,139,12378,excluded
INGR,249.0,139,34806,excluded
INO,280.0,139,38874,train_only
INOV,221.0,139,31083,excluded
INSM,337.0,139,45427,train_only
INST,258.0,139,36243,excluded
INT,222.0,139,31943,excluded
IONS,343.0,139,46459,train_only
IPG,383.0,139,52591,eval_eligible
IPGP,245.0,139,33560,excluded
IPHI,319.0,139,42969,train_only
IR,342.0,139,46778,train_only
IRDM,300.0,139,41045,train_only
IRM,385.0,139,52592,eval_eligible
IRTC,192.0,139,27023,excluded
IRWD,368.0,139,49500,eval_eligible
ISBC,360.0,139,48421,eval_eligible
IT,240.0,139,35146,excluded
ITGR,119.0,139,17636,excluded
ITRI,156.0,139,22817,excluded
ITT,274.0,139,37783,excluded
IVZ,389.0,139,53489,eval_eligible
JAZZ,254.0,139,36217,excluded
JBGS,214.0,139,30261,excluded
JBHT,329.0,139,44292,train_only
JBL,364.0,139,49633,eval_eligible
JBLU,389.0,139,53419,eval_eligible
JCOM,207.0,139,30328,excluded
JEF,365.0,139,49569,eval_eligible
JHG,349.0,139,47131,train_only
JJSF,51.0,139,8456,excluded
JLL,157.0,139,24217,excluded
JNPR,387.0,139,53097,eval_eligible
JWN,387.0,139,53215,eval_eligible
KALU,79.0,139,12119,excluded
KAR,375.0,139,51189,eval_eligible
KBR,339.0,139,45937,train_only
KEM,315.0,139,42584,train_only
KEX,233.0,139,32463,excluded
KFY,230.0,139,32135,excluded
KIM,387.0,139,53142,eval_eligible
KLIC,197.0,139,27850,excluded
KMPR,143.0,139,22180,excluded
KMT,318.0,139,42810,train_only
KMX,366.0,139,49832,eval_eligible
KN,300.0,139,40351,train_only
KNSL,100.0,139,16614,excluded
KNX,369.0,139,50322,eval_eligible
KPTI,341.0,139,46331,train_only
KRC,241.0,139,33912,excluded
KSS,389.0,139,53407,eval_eligible
KTB,276.0,139,38045,excluded
KTOS,316.0,139,44134,train_only
L,344.0,139,47281,train_only
LAD,118.0,139,18588,excluded
LAMR,185.0,139,28002,excluded
LANC,77.0,139,11937,excluded
LAUR,332.0,139,44890,train_only
LAZ,293.0,139,39304,train_only
LBTYA,373.0,139,50728,eval_eligible
LEA,283.0,139,39455,train_only
LECO,200.0,139,28497,excluded
LEG,359.0,139,48574,eval_eligible
LEN,389.0,139,53269,eval_eligible
LEVI,328.0,139,44262,train_only
LFUS,84.0,139,12526,excluded
LHCG,132.0,139,19980,excluded
LII,181.0,139,27015,excluded
LITE,371.0,139,49878,eval_eligible
LIVN,200.0,139,29825,excluded
LK,389.0,139,52100,eval_eligible
LKQ,375.0,139,50916,eval_eligible
LM,295.0,139,40557,train_only
LMNX,125.0,139,19880,excluded
LNC,377.0,139,51509,eval_eligible
LOGM,255.0,139,36071,excluded
LOPE,241.0,139,34618,excluded
LPLA,286.0,139,40433,train_only
LPX,360.0,139,49123,eval_eligible
LSCC,369.0,139,49785,eval_eligible
LSI,199.0,139,27989,excluded
LSTR,175.0,139,26041,excluded
LTC,148.0,139,22946,excluded
LVGO,332.0,139,44367,train_only
LW,333.0,139,45651,train_only
LXP,357.0,139,48315,eval_eligible
LYFT,389.0,139,53561,eval_eligible
LYV,355.0,139,48163,eval_eligible
M,389.0,139,53572,eval_eligible
MAN,219.0,139,31561,excluded
MANH,247.0,139,34768,excluded
MANT,82.0,139,13946,excluded
MAS,387.0,139,52991,eval_eligible
MASI,175.0,139,25157,excluded
MAT,386.0,139,52955,eval_eligible
MC,257.0,139,36118,excluded
MCY,126.0,139,18958,excluded
MDC,261.0,139,36777,excluded
MDLA,333.0,139,44824,train_only
MDU,341.0,139,47003,train_only
MEDP,176.0,139,24932,excluded
MGM,389.0,139,53354,eval_eligible
MGP,328.0,139,43958,train_only
MHK,317.0,139,42679,train_only
MIC,258.0,139,36801,excluded
MIDD,171.0,139,26366,excluded
MIME,286.0,139,38624,train_only
MKSI,234.0,139,32649,excluded
MLCO,368.0,139,50101,eval_eligible
MLM,261.0,139,36424,excluded
MLNX,197.0,139,29033,excluded
MMP,322.0,139,44452,train_only
MMS,203.0,139,29728,excluded
MMSI,309.0,139,42017,train_only
MNRO,172.0,139,25744,excluded
MNTA,308.0,139,40691,train_only
MOH,271.0,139,37322,excluded
MOMO,385.0,139,52563,eval_eligible
MOS,389.0,139,53463,eval_eligible
MPLX,383.0,139,51736,eval_eligible
MPW,387.0,139,53141,eval_eligible
MPWR,189.0,139,27721,excluded
MRCY,223.0,139,31390,excluded
MRO,389.0,139,53499,eval_eligible
MRTX,243.0,139,34313,excluded
MSM,253.0,139,35607,excluded
MTG,378.0,139,51580,eval_eligible
MTH,279.0,139,37991,excluded
MTN,169.0,139,25759,excluded
MTSI,241.0,139,33821,excluded
MTZ,339.0,139,45521,train_only
MUSA,185.0,139,28316,excluded
MWA,293.0,139,40141,train_only
MYL,389.0,139,53557,eval_eligible
MYOK,198.0,139,28413,excluded
NATI,255.0,139,36151,excluded
NAV,224.0,139,33161,excluded
NBIX,327.0,139,43515,train_only
NBL,389.0,139,53468,eval_eligible
NCLH,381.0,139,51626,eval_eligible
NCR,314.0,139,42416,train_only
NDSN,128.0,139,19153,excluded
NEOG,106.0,139,16257,excluded
NET,329.0,131,41705,train_only
NEWR,322.0,139,43532,train_only
NFG,284.0,139,39529,train_only
NGVT,194.0,139,28052,excluded
NHI,138.0,139,21327,excluded
NI,385.0,139,52894,eval_eligible
NIO,389.0,139,53518,eval_eligible
NJR,272.0,139,38061,excluded
NKTR,385.0,139,52596,eval_eligible
NLOK,387.0,94,35582,eval_eligible
NLSN,382.0,139,52259,eval_eligible
NNN,323.0,139,44479,train_only
NOMD,301.0,139,40606,train_only
NOV,389.0,139,53447,eval_eligible
NRG,385.0,139,52801,eval_eligible
NRZ,385.0,139,52519,eval_eligible
NSA,190.0,139,27318,excluded
NSIT,182.0,139,26696,excluded
NSP,256.0,139,36227,excluded
NTAP,387.0,139,53149,eval_eligible
NTCT,236.0,139,33900,excluded
NTNX,387.0,139,53010,eval_eligible
NTRA,290.0,139,40083,train_only
NUAN,379.0,139,51656,eval_eligible
NUE,383.0,139,52593,eval_eligible
NUVA,191.0,139,28730,excluded
NVCR,326.0,139,44584,train_only
NVRO,199.0,139,29104,excluded
NVST,365.0,128,42768,eval_eligible
NVT,342.0,139,46477,train_only
NWBI,250.0,139,35359,excluded
NWE,184.0,139,26192,excluded
NWL,389.0,139,53376,eval_eligible
NWN,107.0,139,16490,excluded
NWSA,371.0,139,50913,eval_eligible
NXST,247.0,139,34827,excluded
NYCB,385.0,139,52640,eval_eligible
NYT,352.0,139,47875,eval_eligible
OC,354.0,139,48013,eval_eligible
OFC,248.0,139,35006,excluded
OGE,366.0,139,49950,eval_eligible
OGS,157.0,139,23960,excluded
OHI,377.0,139,51508,eval_eligible
OKE,385.0,139,52776,eval_eligible
OLED,282.0,139,39613,train_only
OLN,385.0,139,52494,eval_eligible
OMCL,136.0,139,20273,excluded
OMF,288.0,139,39716,train_only
ON,389.0,139,53419,eval_eligible
ONB,335.0,139,45657,train_only
ONEM,301.0,35,10669,train_only
ONTO,154.0,139,22700,excluded
OPK,377.0,139,51266,eval_eligible
OR,322.0,139,43773,train_only
ORA,110.0,139,16722,excluded
ORI,368.0,139,50123,eval_eligible
OSIS,90.0,139,13894,excluded
OSK,298.0,139,40842,train_only
OUT,321.0,139,43190,train_only
OXY,389.0,139,53475,eval_eligible
OZK,338.0,139,45348,train_only
PAA,383.0,139,52218,eval_eligible
PACW,330.0,139,45042,train_only
PAG,190.0,139,27314,excluded
PAGS,377.0,139,50880,eval_eligible
PB,280.0,139,37917,train_only
PBCT,387.0,139,52999,eval_eligible
PBH,207.0,139,30475,excluded
PCG,389.0,139,53370,eval_eligible
PCH,187.0,139,26870,excluded
PCRX,270.0,139,37675,excluded
PCTY,210.0,139,29630,excluded
PD,310.0,139,41767,train_only
PDCO,338.0,139,46436,train_only
PDM,303.0,139,41633,train_only
PE,389.0,139,53494,eval_eligible
PEGA,173.0,139,24501,excluded
PEN,219.0,139,30718,excluded
PFGC,291.0,139,40425,train_only
PFSI,220.0,139,32097,excluded
PGNY,280.0,101,27357,train_only
PGRE,350.0,139,47323,eval_eligible
PHM,388.0,139,53238,eval_eligible
PII,294.0,139,40142,train_only
PINC,312.0,139,42177,train_only
PING,280.0,127,33477,train_only
PINS,389.0,139,53409,eval_eligible
PK,383.0,139,52311,eval_eligible
PKG,319.0,139,43281,train_only
PKI,289.0,139,39690,train_only
PLAN,380.0,139,51421,eval_eligible
PLNT,346.0,139,47135,train_only
PLXS,101.0,139,15480,excluded
PNFP,216.0,139,31256,excluded
PNM,240.0,139,33758,excluded
PNR,345.0,139,46274,train_only
PNW,348.0,139,47448,train_only
PODD,295.0,139,40627,train_only
POOL,125.0,139,19371,excluded
POR,298.0,139,40694,train_only
POST,264.0,139,36864,excluded
POWI,104.0,139,17278,excluded
PPC,328.0,139,44116,train_only
PPD,335.0,31,10080,train_only
PRAA,124.0,139,19851,excluded
PRAH,233.0,139,31808,excluded
